Potential,DC Gain,Oscillation Amplitude,Exponential Time Constant,Frequency,Phase
7.0V,960.5430906190005,607.6710845324452,247039577579.1775,7.545485913056884e-05,7.582316294987543
1.5V,1370.9732701287903,233.5601390699097,15055.949170423926,9.264309255102225e-05,-0.19855904339649216
4.0V,1132.7242432781288,-446.3213214673371,1844546100111.9585,9.356159485423477e-05,4.117239125447069
0.1V,240.38211611195516,-137.42258935960703,1011.5479059535494,0.00014849472432770563,0.11507836098866779
3.0V,1330.8488930422716,-262.95153326388606,8168867999981.558,0.00011133779013131031,2.8891019474637387
0.0V,-0.006494879080932629,1.665109339469913,208334.35620042225,6.82246936839268e-05,1.9061478615651477
5.0V,1012.3946774316412,597.9746001021549,320173815831.12555,8.288449006026849e-05,0.48336350809432765
10.0V,950.0787351426649,-615.0837678487214,3980152.226160324,7.263221021555459e-05,-16.72301153924845
1.0V,1319.6534912146299,189.6949250434404,4597.839445130747,0.00010342466610331846,-1.2407423909873136
0.5V,974.3366802668621,-426.41503257036743,1187.6060211925058,0.0001538184034869611,0.5278161978192845
6.0V,975.7524088031353,614.2565124828044,419271612562.5491,7.768591275615309e-05,3.3200952392802265
9.0V,949.7443535035693,-604.9799574839519,-443923073767.649,7.337678036072883e-05,1.7591751460487588
2.0V,1382.6578268001053,92.95812270327524,260700.10837236157,0.0001043094314949766,-0.013203929836267165
8.0V,953.1278977664118,-614.2941795150076,7269842.299200773,7.473984152911095e-05,-6.027163671649996
